SKU,MAE_Rel_ETS,MAE_Rel_Prophet
FOODS_2_019,29.066809710454617,46.28912096093014
FOODS_2_197,29.75052697676877,48.630094734753825
FOODS_2_276,45.59388917309335,34.98212948465899
FOODS_2_347,40.20112779162965,48.557404526580875
FOODS_2_360,99.87304695376291,67.55676996511785
FOODS_3_064,20.662329021906874,59.25674094053268
FOODS_3_080,26.74209195630902,27.01012069352049
FOODS_3_090,25.503246058127754,45.822100417315184
FOODS_3_099,36.43472061520236,43.19605141798859
FOODS_3_120,84.65706728059345,92.17506818092602
FOODS_3_202,32.99645743006571,42.85774333183498
FOODS_3_252,20.44854091953601,21.161281162983073
FOODS_3_281,33.945434020165585,66.39018484087686
FOODS_3_282,39.44854708845219,54.30407858158402
FOODS_3_295,33.84687680776692,36.6774062824128
FOODS_3_318,39.17569755325092,91.23373834589484
FOODS_3_491,36.918129272866636,53.36972056703665
FOODS_3_501,35.32775330456096,40.47280891995339
FOODS_3_555,18.695516485934846,24.18421000174094
FOODS_3_586,18.139542245769537,15.943007378098345
FOODS_3_587,38.941861856247456,48.3369313142722
FOODS_3_607,31.8681994454092,30.705146862466236
FOODS_3_681,56.212819760598386,80.25203139961637
FOODS_3_694,32.84485853720208,25.756376017110423
FOODS_3_714,26.999587986257602,30.326905902450246
FOODS_3_723,40.87577049353729,50.56025509648432
FOODS_3_741,42.47175703613215,45.179711673444075
FOODS_3_744,38.37888981902897,48.59890056741863
FOODS_3_755,34.14169647387031,36.222138971433175
FOODS_3_785,102.53035199132638,148.2106648342809
HOBBIES_1_348,98.91544839851099,113.54592591049222
