SKU,MAE_Rel_ETS,MAE_Rel_Prophet
FOODS_2_019,29.066809710454617,42.561693528328
FOODS_2_197,29.75052697676877,48.89491035881341
FOODS_2_276,45.59388917309335,34.98212948465899
FOODS_2_347,40.20112779162965,41.85447031807092
FOODS_2_360,99.87304695376291,69.84452020822799
FOODS_3_064,20.662329021906874,44.02206112299434
FOODS_3_080,26.74209195630902,28.731776871603277
FOODS_3_090,25.503246058127754,45.486682037294756
FOODS_3_099,36.43472061520236,43.10750887419307
FOODS_3_120,84.65706728059345,69.54701948047365
FOODS_3_202,32.99645743006571,36.88704443577327
FOODS_3_252,20.44854091953601,21.28251330363174
FOODS_3_281,33.945434020165585,70.45479360937938
FOODS_3_282,39.44854708845219,50.72184592753545
FOODS_3_295,33.84687680776692,31.18540467861644
FOODS_3_318,39.17569755325092,90.7035345585285
FOODS_3_491,36.918129272866636,49.004992648062675
FOODS_3_501,35.32775330456096,40.71924401988286
FOODS_3_555,18.695516485934846,26.806477635564768
FOODS_3_586,18.139542245769537,15.52094305734539
FOODS_3_587,38.941861856247456,51.36230850078037
FOODS_3_607,31.8681994454092,43.247042176470416
FOODS_3_681,56.212819760598386,79.94871649251965
FOODS_3_694,32.84485853720208,25.981115454460628
FOODS_3_714,26.999587986257602,28.92782001490958
FOODS_3_723,40.87577049353729,48.10596643962343
FOODS_3_741,42.47175703613215,59.825467832954715
FOODS_3_744,38.37888981902897,53.879586425566984
FOODS_3_755,34.14169647387031,36.27892283641659
FOODS_3_785,102.53035199132638,155.02239539264525
HOBBIES_1_348,98.91544839851099,101.09642412471706
